model,frame_number,inference_time_ms,fps,gpu_memory_mb,gpu_util_percent
metrabs,86,133.8841,7.47,2609.79,52
metrabs,87,134.592,7.43,2609.79,55
metrabs,88,134.4459,7.44,2609.79,53
metrabs,89,134.9422,7.41,2609.79,54
metrabs,90,158.5787,6.31,2609.79,44
metrabs,91,135.5486,7.38,2601.73,44
metrabs,92,219.2974,4.56,2601.73,31
metrabs,93,134.6683,7.43,2601.73,31
metrabs,94,133.2007,7.51,2601.73,50
metrabs,95,134.0737,7.46,2601.73,55
metrabs,96,225.7567,4.43,2601.73,44
metrabs,97,134.1445,7.45,2601.73,32
metrabs,98,134.7535,7.42,2601.73,55
metrabs,99,133.344,7.5,2601.73,53
metrabs,100,133.9181,7.47,2601.73,53
mediapipe,1,29.5091,33.89,1422.66,3
mediapipe,2,27.8375,35.92,1421.38,3
mediapipe,3,28.36,35.26,1421.38,5
mediapipe,4,29.0916,34.37,1421.38,5
mediapipe,5,27.4101,36.48,1421.38,5
mediapipe,6,28.2616,35.38,1421.38,5
mediapipe,7,27.5818,36.26,1421.38,5
mediapipe,8,29.4382,33.97,1421.38,5
mediapipe,9,29.0818,34.39,1421.38,5
mediapipe,10,27.253,36.69,1421.38,5
mediapipe,11,27.9442,35.79,1421.38,5
mediapipe,12,27.5144,36.34,1421.38,5
mediapipe,13,27.6845,36.12,1421.38,4
mediapipe,14,27.5239,36.33,1421.38,4
mediapipe,15,27.561,36.28,1421.38,4
mediapipe,16,26.9846,37.06,1421.38,4
mediapipe,17,27.4743,36.4,1421.38,4
mediapipe,18,27.1527,36.83,1421.38,4
mediapipe,19,27.8045,35.97,1421.38,3
mediapipe,20,27.5764,36.26,1421.38,3
mediapipe,21,29.0617,34.41,1421.38,3
mediapipe,22,27.3492,36.56,1421.38,3
mediapipe,23,27.6629,36.15,1421.38,3
mediapipe,24,27.699,36.1,1421.38,3
mediapipe,25,27.2841,36.65,1421.38,3
mediapipe,26,28.3194,35.31,1421.38,3
mediapipe,27,27.4599,36.42,1421.38,3
mediapipe,28,27.4096,36.48,1421.38,3
mediapipe,29,27.1604,36.82,1421.38,3
mediapipe,30,27.7045,36.1,1421.38,3
mediapipe,31,28.2166,35.44,1421.38,3
mediapipe,32,27.454,36.42,1421.38,3
mediapipe,33,28.2222,35.43,1421.38,3
mediapipe,34,27.5245,36.33,1421.2,3
mediapipe,35,27.7092,36.09,1421.2,3
mediapipe,36,27.4049,36.49,1421.2,3
mediapipe,37,27.3881,36.51,1421.2,3
mediapipe,38,27.3694,36.54,1421.2,3
mediapipe,39,27.3858,36.52,1421.2,3
mediapipe,40,27.1939,36.77,1421.2,3
mediapipe,41,27.4942,36.37,1421.2,3
mediapipe,42,26.971,37.08,1421.2,3
mediapipe,43,27.1654,36.81,1421.2,3
mediapipe,44,26.8043,37.31,1421.2,3
mediapipe,45,27.0838,36.92,1421.2,3
mediapipe,46,27.0324,36.99,1421.2,3
mediapipe,47,27.7308,36.06,1421.2,3
mediapipe,48,26.6855,37.47,1421.2,3
mediapipe,49,27.9349,35.8,1421.2,2
mediapipe,50,26.9562,37.1,1421.2,2
mediapipe,51,28.4177,35.19,1420.88,2
mediapipe,52,26.7584,37.37,1420.88,2
mediapipe,53,26.8737,37.21,1420.88,2
mediapipe,54,27.6131,36.21,1420.88,1
mediapipe,55,27.3352,36.58,1420.88,1
mediapipe,56,27.2693,36.67,1420.88,1
mediapipe,57,27.3897,36.51,1420.88,1
mediapipe,58,27.3092,36.62,1420.88,1
mediapipe,59,27.1548,36.83,1420.88,3
mediapipe,60,27.3526,36.56,1420.88,3
mediapipe,61,29.7159,33.65,1420.23,3
mediapipe,62,27.8499,35.91,1420.23,3
mediapipe,63,27.2475,36.7,1420.23,3
mediapipe,64,27.3025,36.63,1420.23,3
mediapipe,65,27.1676,36.81,1420.23,3
